2016,1, 
2016,2,
2016,3, 
2016,4,Denmark,71.19
2016,5,United Kingdom,70.13
2016,6,Sweden,69.91
2016,7,Belgium,68.73
2016,8,France,65.97
2016,9,Cyprus,65.12
2016,10,Morocco,63.76
2016,11,Italy,62.98
2016,12,Ireland,62.65
2016,13,Luxembourg,62.47
2016,14,Switzerland,62.09
2016,15,Malta,61.82
2016,16,Latvia,61.38
2016,17,Hungary,60.76
2016,18,Romania,60.39
2016,19,Portugal,59.52
2016,20,Lithuania,58.65
2016,21,Croatia,58.43
2016,22,Germany,58.39
2016,23,Finland,58.27
2016,24,Indonesia,58.21
2016,25,India,58.19
2016,26,Slovak Republic,57.83
2016,27,Iceland,57.25
2016,28,Mexico,57.04
2016,29,Czech Republic,57.03
2016,30,Egypt,56.96
2016,31,Slovenia,56.87
2016,32,Poland,56.09
2016,33,Greece,55.06
2016,34,United States,54.91
2016,35,Netherlands,54.84
2016,36,Norway,54.65
2016,37,Bulgaria,53.85
2016,38,South Africa,53.76
2016,39,Malaysia,53.49
2016,40,Algeria,53.30
2016,41,Spain,52.63
2016,42,New Zealand,52.41
2016,43,Brazil,51.90
2016,44,Belarus,51.18
2016,45,Austria,50.69
2016,46,Ukraine,49.81
2016,47,China,48.60
2016,48,Argentina,48.34
2016,49,Thailand,48.16
2016,50,Turkey,47.25
2016,51,Estonia,47.24
2016,52,Chinese Taipei,45.45
2016,53,Russian Federation,44.34
2016,54,Islamic Rep of Iran,43.33
2016,55,Singapore,42.81
2016,56,Canada,38.74
2016,57,Korea,37.64
2016,58,Japan,37.23
2016,59,Australia,36.56
2016,60,Kazakhstan,32.97
2016,61,Saudi Arabia,21.08
2017,1
2017,2
2017,3
2017,4,France,66.17
2017,5,Sweden,66.15
2017,6,United Kingdom,66.10
2017,7,Cyprus,64.28
2017,8,Morocco,63.28
2017,9,Luxembourg,62.86
2017,10,Malta,62.51
2017,11,Portugal,62.47
2017,12,Belgium,62.08
2017,13,Denmark,61.87
2017,14,Switzerland,61.66
2017,15,Latvia,61.20
2017,16,Italy,60.72
2017,17,Croatia,60.66
2017,18,Romania,60.33
2017,19,Lithuania,59.75
2017,20,India,59.08
2017,21,Ireland,59.02
2017,22,Indonesia,58.86
2017,23,Egypt,58.75
2017,24,Czech Republic,58.52
2017,25,Greece,58.29
2017,26,Slovak Republic,57.69
2017,27,Netherlands,57.10
2017,28,Mexico,57.02
2017,29,Germany,56.58
2017,30,Slovenia,56.55
2017,31,Finland,56.28
2017,32,South Africa,56.17
2017,33,Spain,56.14
2017,34,Hungary,55.05
2017,35,Poland,53.68
2017,36,Argentina,53.15
2017,37,Bulgaria,53.06
2017,38,Norway,52.90
2017,39,Iceland,52.55
2017,40,Brazil,52.46
2017,41,Austria,52.00
2017,42,Thailand,51.91
2017,43,United States,51.04
2017,44,Malaysia,50.96
2017,45,Ukraine,50.88
2017,46,New Zealand,50.48
2017,47,Algeria,48.46
2017,48,China,47.49
2017,49,Belarus,46.86
2017,50,Estonia,46.04
2017,51,Turkey,45.54
2017,52,Chinese Taipei,44.76
2017,53,Russian Federation,44.30
2017,54,Singapore,43.97
2017,55,Canada,43.06
2017,56,Iran,43.05
2017,57,Australia,40.66
2017,58,Korea,38.11
2017,59,Kazakhstan,36.87
2017,60,Japan,35.93
2017,61,Saudi Arabia,25.45
2015,1,  
2015,2,  
2015,3,  
2015,4,Denmark,77.76
2015,5,Sweden,71.44
2015,6,United Kingdom,70.79
2015,7,Portugal,67.26
2015,8,Cyprus,66.99
2015,9,Morocco,65.73
2015,10,Ireland,65.15
2015,11,Switzerland,65.05
2015,12,France,64.11
2015,13,Iceland,63.07
2015,14,Hungary,62.82
2015,15,Slovak Republic,62.50
2015,16,Belgium,61.89
2015,17,Italy,61.75
2015,18,Mexico,61.30
2015,19,Slovenia,60.99
2015,20,Malta,60.84
2015,21,Lithuania,60.07
2015,22,Germany,59.60
2015,23,Indonesia,59.57
2015,24,Egypt,59.19
2015,25,Romania,59.02
2015,26,Czech Republic,57.99
2015,27,Norway,57.88
2015,28,Spain,57.34
2015,29,Luxembourg,57.25
2015,30,Ukraine,57.10
2015,31,India,56.97
2015,32,Finland,56.76
2015,33,Latvia,56.65
2015,34,Croatia,56.35
2015,35,Greece,55.89
2015,36,Austria,55.39
2015,37,South Africa,54.63
2015,38,Belarus,54.54
2015,39,Algeria,54.46
2015,40,Poland,54.36
2015,41,Bulgaria,54.05
2015,42,Netherlands,53.27
2015,43,New Zealand,52.56
2015,44,United States,52.33
2015,45,China,51.77
2015,46,Estonia,51.58
2015,47,Thailand,50.61
2015,48,Argentina,49.61
2015,49,Brazil,48.51
2015,50,Singapore,47.27
2015,51,Turkey,46.95
2015,52,Malaysia,46.84
2015,53,Japan,45.07
2015,54,Chinese Taipei,45.03
2015,55,Korea,44.15
2015,56,Russian Federation,43.39
2015,57,Islamic Rep of Iran,40.99
2015,58,Canada,38.81
2015,59,Kazakhstan,37.72
2015,60,Australia,35.57
2015,61,Saudi Arabia,24.19
2014,1,  
2014,2,  
2014,3,  
2014,4,Denmark,75.23
2014,5,United Kingdom,69.66
2014,6,Portugal,68.38
2014,7,Sweden,68.10
2014,8,Switzerland,66.17
2014,9,Malta,66.05
2014,10,France,65.90
2014,11,Hungary,65.17
2014,12,Ireland,65.01
2014,13,Iceland,64.89
2014,14,Belgium,64.65
2014,15,Morocco,63.99
2014,16,Romania,63.73
2014,17,Slovak Republic,63.17
2014,18,Italy,62.90
2014,19,Germany,61.90
2014,20,Mexico,61.50
2014,21,Lithuania,60.94
2014,22,Spain,60.37
2014,23,Luxembourg,60.27
2014,24,Norway,59.32
2014,25,Slovenia,59.19
2014,26,Egypt,59.00
2014,27,Latvia,58.73
2014,28,Cyprus,57.61
2014,29,Austria,57.19
2014,30,India,57.16
2014,31,Netherlands,56.99
2014,32,Finland,56.57
2014,33,Belarus,56.48
2014,34,Indonesia,56.24
2014,35,Ukraine,56.04
2014,36,Brazil,55.53
2014,37,Bulgaria,54.87
2014,38,Thailand,54.51
2014,39,South Africa,54.04
2014,40,Czech Republic,53.93
2014,41,Argentina,53.60
2014,42,New Zealand,53.49
2014,43,United States,52.93
2014,44,Croatia,52.79
2014,45,Poland,52.69
2014,46,China,52.41
2014,47,Greece,51.50
2014,48,Singapore,50.32
2014,49,Algeria,49.92
2014,50,Japan,47.21
2014,51,Malaysia,47.06
2014,52,Chinese Taipei,46.81
2014,53,Korea,46.66
2014,54,Turkey,46.47
2014,55,Estonia,45.52
2014,56,Russian Federation,43.64
2014,57,Australia,41.53
2014,58,Canada,40.39
2014,59,Islamic Rep of Iran,37.81
2014,60,Kazakhstan,37.64
2014,61,Saudi Arabia,25.17
2010,1,– –
2010,2,– –
2010,3,– –
2010,4,Brazil,68.0
2010,5,Sweden,67.4
2010,6,United Kingdom,65.3
2010,7,Germany,65.3
2010,8,France,63.5
2010,9,India,63.1
2010,10,Norway,61.8
2010,11,Mexico,61.2
2010,12,Portugal,59.7
2010,13,Switzerland,59.4
2010,14,Latvia,57.5
2010,15,Iceland,57.3
2010,16,Belgium,57.2
2010,17,Denmark,57.0
2010,18,Lithuania,55.9
2010,19,Hungary,55.6
2010,20,Malta,55.2
2010,21,Algeria,55.1
2010,22,Ireland,54.9
2010,23,Indonesia,54.9
2010,24,Slovakia,54.7
2010,25,Czech Republic,54.6
2010,26,Thailand,54.6
2010,27,Netherlands,54.3
2010,28,Morocco,53.3
2010,29,South Africa,52.9
2010,30,Romania,52.9
2010,31,Argentina,52.2
2010,32,Spain,51.8
2010,33,Belarus,51.4
2010,34,Estonia,51.3
2010,35,Japan,50.9
2010,36,Finland,49.5
2010,37,Ukraine,49.5
2010,38,Iran,49.2
2010,39,Turkey,49.1
2010,40,Singapore,48.8
2010,41,Korea Rep,48.7
2010,42,Austria,48.2
2010,43,Slovenia,48.1
2010,44,Italy,48.0
2010,45,Russia,48.0
2010,46,Bulgaria,47.5
2010,47,Taiwan / China,47.5
2010,48,Croatia,47.4
2010,49,Poland,47.4
2010,50,Malaysia,46.9
2010,51,Cyprus,46.6
2010,52,China,46.6
2010,53,United States,46.3
2010,54,Greece,46.0
2010,55,New Zealand,44.8
2010,56,Luxembourg,42.8
2010,57,Australia,41.9
2010,58,Kazakhstan,41.4
2010,59,Canada,40.7
2010,60,Saudi Arabia,28.7
2011,1,– –
2011,2,– –
2011,3,– –
2011,4,Brazil,70.5
2011,5,Sweden,69.9
2011,6,Norway,67.0
2011,7,Germany,67.0
2011,8,United Kingdom,65.9
2011,9,France,64.6
2011,10,India,64.1
2011,11,Mexico,64.0
2011,12,Malta,63.8
2011,13,Switzerland,63.6
2011,14,Portugal,63.4
2011,15,Latvia,61.9
2011,16,Hungary,61.8
2011,17,Belgium,61.5
2011,18,Slovakia,60.5
2011,19,Thailand,59.8
2011,20,Ireland,59.8
2011,21,Indonesia,59.7
2011,22,Lithuania,59.5
2011,23,Morocco,59.4
2011,24,Iceland,58.7
2011,25,Belarus,57.6
2011,26,Algeria,57.5
2011,27,Czech Republic,57.5
2011,28,Romania,57.0
2011,29,South Africa,56.6
2011,30,Netherlands,56.4
2011,31,Finland,55.1
2011,32,Singapore,55.0
2011,33,Denmark,54.6
2011,34,Korea Rep,54.5
2011,35,Spain,54.4
2011,36,Ukraine,54.1
2011,37,New Zealand,53.7
2011,39,Japan,53.1
2011,39,Cyprus,53.0
2011,40,Austria,52.9,
2011,41,Italy,52.7
2011,42,Estonia,52.7
2011,43,Greece,52.4
2011,44,Argentina,52.4
2011,45,Slovenia,51.4
2011,46,Croatia,50.2
2011,47,Chinese Taipei,50.2
2011,48,Russia,49.8
2011,49,Bulgaria,49.6
2011,50,Turkey,49.0
2011,51,Luxembourg,48.3
2011,52,Iran,47.2
2011,53,Malaysia,47.1
2011,54,USA,46.5
2011,55,Poland,46.3
2011,56,China,44.9
2011,57,Canada,43.9
2011,58,Australia,42.9
2011,59,Kazakhstan,42.5
2011,60,Saudi Arabia,25.8
2007,1,Sweden,0.56
2007,2,United Kingdom,0.52
2007,3,Denmark,0.52
2007,4,Malta,0.49
2007,5,Germany,0.46
2007,6,Argentina,0.46
2007,7,Hungary,0.45
2007,8,Brazil,0.44
2007,9,India,0.41
2007,10,Switzerland,0.39
2007,11,Latvia,0.36
2007,12,France,0.35
2007,13,Romania,0.32
2007,14,Iceland,0.31
2007,15,Belgium,0.31
2007,16,Mexico,0.30
2007,17,Lithuania,0.21
2007,18,Morocco,0.20
2007,19,Portugal,0.18
2007,20,Norway,0.17
2007,21,Slovak Republic,0.16
2007,22,New Zealand,0.16
2007,23,Slovenia,0.16
2007,24,Bulgaria,0.10
2007,25,Czech Republic,0.10
2007,26,Japan,0.08
2007,27,Poland,0.08
2007,28,Singapore,0.06
2007,29,Netherlands,0.06
2007,30,Estonia,0.05
2007,31,Italy,0.05
2007,32,Turkey,0.01
2007,33,Ireland,-0.05
2007,34,Croatia,-0.07
2007,35,Algeria,-0.09
2007,36,Finland,-0.09
2007,37,Belarus,-0.12
2007,38,Spain,-0.15
2007,39,Austria,-0.16
2007,40,Cyprus,-0.18
2007,41,Greece,-0.28
2007,42,Russian Fed,-0.29
2007,43,Indonesia,-0.31
2007,44,Ukraine,-0.33
2007,45,Luxembourg,-0.34
2007,46,South Africa,-0.36
2007,47,Australia,-0.45
2007,48,Korea Rep,-0.48
2007,49,Iran,-0.49
2007,50,Thailand,-0.49
2007,51,Canada,-0.55
2007,52,Kazakhstan,-0.56
2007,53,USA,-0.59
2007,54,China,-0.65
2007,55,Malaysia,-0.74
2007,56,Saudi Arabia,-0.78
2013,1,
2013,2,
2013,3,
2013,4,Denmark,72.61
2013,5,Sweden,69.37
2013,6,Portugal,67.81
2013,7,Switzerland,67.61
2013,8,Germany,67.54
2013,9,Ireland,67.48
2013,10,United Kingdom,67.33
2013,11,Malta,67.07
2013,12,Hungary,66.41
2013,13,Belgium,65.20
2013,14,Mexico,64.91
2013,15,France,64.74
2013,16,Slovak Republic,64.64
2013,17,Iceland,64.16
2013,18,Romania,62.67
2013,19,Ukraine,62.22
2013,20,Morocco,62.01
2013,21,Italy,61.26
2013,22,Slovenia,60.98
2013,23,Cyprus,60.94
2013,24,India,60.77
2013,25,Lithuania,60.23
2013,26,Luxembourg,59.56
2013,27,Spain,59.18
2013,28,Czech Republic,59.13
2013,29,Egypt,59.04
2013,30,Latvia,58.63
2013,31,Norway,58.38
2013,32,Thailand,58.32
2013,33,Brazil,58.20
2013,34,Austria,58.09
2013,35,Belarus,57.98
2013,36,Indonesia,57.07
2013,37,South Africa,56.70
2013,38,Finland,56.58
2013,39,Croatia,56.37
2013,40,Australia,55.39
2013,41,New Zealand,54.48
2013,42,Bulgaria,54.27
2013,43,United States,53.51
2013,44,Poland,52.47
2013,45,Estonia,52.45
2013,46,Algeria,52.34
2013,47,Japan,52.10
2013,48,Greece,52.04
2013,49,Netherlands,50.28
2013,50,Argentina,49.97
2013,51,Korea,49.93
2013,52,Chinese Taipei,49.40
2013,53,Singapore,49.13
2013,54,China,49.03
2013,55,Malaysia,47.53
2013,56,Russian Federation,46.65
2013,57,Turkey,46.60
2013,58,Canada,45.16
2013,59,Kazakhstan,39.96
2013,60,Islamic Rep of Iran,35.81
2013,61,Saudi Arabia,26.90
2012,1,– –
2012,2,– –
2012,3,– –
2012,4,Sweden,68.1
2012,5,United Kingdom,67.4
2012,6,Germany,67.2
2012,7,Brazil,66.9
2012,8,France,66.3
2012,9,Switzerland,65.1
2012,10,Mexico,64.6
2012,11,Slovakia,64.0
2012,12,Denmark,63.9
2012,13,Belgium,63.8
2012,14,Portugal,62.9
2012,15,Norway,61.9
2012,16,Lithuania,61.4
2012,17,Ireland,60.9
2012,18,Hungary,60.7
2012,19,Malta,60.6
2012,20,Iceland,59.8
2012,21,Egypt***,59.1
2012,22,Latvia,59.1
2012,23,India,58.6
2012,24,Thailand,58.4
2012,25,Morocco,57.9
2012,26,Indonesia,57.2
2012,27,Belarus,56.3
2012,28,Romania,55.9
2012,29,Slovenia,55.6
2012,30,Italy,55.4
2012,31,Luxembourg,55.2
2012,32,New Zealand,54.5
2012,33,Algeria,54.4
2012,34,Austria,54.3
2012,35,Spain,54.2
2012,36,Cyprus,54.0
2012,37,Finland,53.9
2012,38,South Africa,53.6
2012,39,Ukraine,53.3
2012,40,Estonia,53.0
2012,41,Korea Rep,52.3
2012,42,Netherlands,51.4
2012,43,Japan,51.1
2012,44,Bulgaria,51.1
2012,45,Argentina,50.8
2012,46,Czech Republic,50.4
2012,47,Greece,50.3
2012,48,Australia,49.8
2012,49,Malaysia,49.2
2012,50,Chinese Taipei,49.0
2012,51,Singapore,48.9
2012,52,USA,48.5
2012,53,Croatia,47.2
2012,54,Canada,46.3
2012,55,Russia,45.1
2012,56,Poland,45.1
2012,57,China,44.6
2012,58,Turkey,41.7
2012,59,Kazakhstan,38.1
2012,60,Iran,36.0
2012,61,Saudi Arabia,24.5
2022,1,  
2022,2,  
2022,3,  
2022,4,Denmark,76.67
2022,5,Sweden,74.22
2022,6,Norway,73.29
2022,7,United Kingdom,73.09
2022,8,Morocco,71.60
2022,9,Chile,69.51
2022,10,India,69.20
2022,11,Lithuania,64.89
2022,12,Malta,64.18
2022,13,Germany,63.53
2022,14,Finland,62.41
2022,15,Switzerland,61.70
2022,16,Portugal,61.11
2022,17,France,61.01
2022,18,Luxembourg,60.80
2022,19,Netherlands,60.44
2022,20,Ukraine,60.40
2022,21,Egypt,59.74
2022,22,European Union,59.21
2022,23,Philippines,58.98
2022,24,Greece,58.22
2022,25,Colombia,57.87
2022,26,Latvia,57.73
2022,27,Indonesia,57.17
2022,28,Mexico,56.05
