Year,AU,World
1990,9.656030644,19.37610092
1991,10.59820105,19.24415978
1992,10.06686525,19.18257539
1993,10.54914357,19.80775621
1994,10.19447386,19.55480875
1995,9.62414282,19.85408136
1996,9.229727824,19.5095677
1997,9.587675727,19.39153258
1998,8.434050016,19.05750961
1999,8.544053588,18.69555563
2000,8.381618572,18.33022133
2001,8.098454953,17.87747793
2002,7.860918822,17.82250233
2003,8.440698866,17.42278266
2004,8.186650191,17.8404802
2005,8.803706639,18.02213151
2006,9.299307773,18.14694392
2007,8.648072467,17.91493678
2008,8.115257556,18.56833432
2009,7.497934259,19.36042974
2010,8.598494145,19.51754419
2011,10.35568729,19.85586698
2012,10.49249084,20.80242292
2013,13.12280561,21.60763615
2014,14.59849293,22.10837046
2015,13.30035735,22.70361057
2016,14.49704604,23.61556525
2017,15.59795322,24.33069377
2018,17.03153221,25.11604425
2019,19.59265721,26.04138305
