Year,AU,World
1990,24.76917528,5.950558487
1991,24.50893699,5.947225455
1992,24.48544788,5.692026996
1993,24.21490859,5.661461569
1994,23.95815969,5.632907056
1995,24.22376521,5.657868209
1996,24.34786165,5.69967654
1997,24.74001771,5.67311435
1998,25.22243882,5.547392328
1999,25.25469995,5.540678673
2000,25.55520961,5.566864879
2001,25.66858136,5.544282533
2002,25.59561779,5.585729437
2003,25.42273644,5.76695384
2004,25.9712835,5.958682905
2005,25.8883943,6.037994707
2006,25.67291343,6.144770955
2007,25.55704764,6.203449329
2008,25.21296128,6.20112683
2009,24.91902501,6.125625884
2010,24.33661982,6.295976799
2011,23.97950022,6.376759124
2012,23.73346289,6.371189373
2013,22.93321846,6.421118317
2014,22.3478778,6.401389815
2015,22.4610866,6.531344845
2016,22.63390836,6.511234785
