Organisation Name,Identifying Details,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
A B C TISSUE PRODUCTS PTY LTD,33 003 085 112,"25,513","59,864","755,628",-
A.A. SCOTT PROPRIETARY LIMITED,14 007 601 667,"173,907","6,979","2,512,672",-
A.C.N. 085 239 998 PTY LTD,39 085 239 998,"1,593","172,624","780,223",-
A.C.N. 166 119 133 PTY LTD,31 166 119 133,"155,677","209,124","3,457,560",-
A.J. BUSH & SONS PTY LTD,77 000 134 010,"61,620","16,009","825,284",-
AAPC LIMITED,87 009 175 820,"26,869","214,620","1,436,197",-
ABI AUSTRALIA HOLDING PTY LTD,99 615 290 849,"26,210","64,573","787,886",-
ADELAIDE BRIGHTON LTD.,15 007 596 018,"2,156,481","230,539","14,782,120",-
AERIS RESOURCES LIMITED,30 147 131 977,"17,695","66,655","552,379",-
AGL ENERGY LIMITED,74 115 061 375,"42,727,434","520,537","335,963,880",-
AIR LIQUIDE AUSTRALIA LIMITED,57 004 385 782,"8,028","241,200","1,444,800",-
AIRWORK FLIGHT OPERATIONS PTY LTD,13 119 011 871,"68,723",0,"978,966",-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,33 096 987 370,"6,273,349","4,297,647","125,397,606",-
ALDI FOODS PTY LIMITED,18 086 210 139,"41,108","243,478","1,533,251",-
ALIAXIS HOLDINGS AUSTRALIA PTY LIMITED,33 169 799 080,886,"58,253","276,027",-
ALLIANCE AVIATION SERVICES LIMITED,96 153 361 525,"169,586","1,020","2,420,812",-
AMAZON CORPORATE SERVICES PTY LTD,95 082 931 600,321,"90,643","402,248",-
AMCOR PTY LTD,62 000 017 372,"5,587","49,210","282,200",-
AMP LIMITED,49 079 354 519,"6,748","99,199","550,164",-
ANGLO AMERICAN AUSTRALIA LIMITED,47 004 892 371,"6,415,865","706,988","19,124,914",-
ANGLOGOLD ASHANTI AUSTRALIA LIMITED,42 008 737 424,"426,243",276,"7,312,034",-
APT PIPELINES LIMITED,89 009 666 700,"1,228,442","196,047","18,113,382","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
APT PIPELINES LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports. For further information refer to the 2017-18 greenhouse and energy information for designated generation facilities."
ARNOTTS BISCUITS HOLDINGS PTY LTD,84 080 889 621,"25,572","50,396","722,964",-
ARROW ENERGY HOLDINGS PTY LTD,94 141 385 293,"496,913","31,632","7,653,272",-
ASAHI HOLDINGS (AUSTRALIA) PTY LTD,48 135 315 767,"18,939","65,636","619,036",-
ASALEO CARE LIMITED,61 154 461 300,"25,220","88,352","784,627",-
ASSOCIATED KILN DRIERS PTY. LIMITED,34 004 341 048,"22,779","55,737","2,079,997",-
ATCO AUSTRALIA PTY LTD,74 091 033 546,"379,623","2,043","4,631,034",-
ATCO GAS AUSTRALIA GP PTY LTD,76 151 245 779,"166,574",359,"37,315",-
AURELIA METALS LIMITED,37 108 476 384,"31,841","61,382","808,416",-
AURIZON HOLDINGS LIMITED,14 146 335 622,"482,794","364,813","8,511,155",-
AUSCAN HOLDINGS PTY LIMITED,70 084 400 886,"111,287",68,"1,522,628",-
AUSGRID MANAGEMENT PTY LTD,83 615 449 548,"23,163","823,969","3,766,183",-
