Small Unit Installation Postcode,Previous Years (2001-2020) - Installation Quantity,Previous Years (2001-2020) - SGU Output Rated Output in kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,June 2021 - Installations Quantity,June 2021 - SGU Rated Output In kW,July 2021 - Installations Quantity,July 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output in kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output in kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output in kW,June 2022 - Installations Quantity,June 2022 - SGU Rated Output in kW,July 2022 - Installations Quantity,July 2022 - SGU Rated Output in kW,August 2022 - Installations Quantity,August 2022 - SGU Rated Output in kW,Installations Quantity Total,SGU Rated Output In kW Total
3029,13028,66465.309,256,1839.165,219,1479.605,332,2818.1,275,1893.075,250,1690.185,303,2192.665,345,2688.63,293,2211.955,231,1816.915,308,2440.63,291,2314.29,260,2492.16,106,829.8,158,1255.055,183,1246.385,149,1415,112,965,136,1080.89,151,1139.205,76,574.53,17462,100848.824
4670,15863,72687.831,93,736.475,114,1101.585,163,1207.37,152,1148.42,123,1083.79,138,1312.365,141,1098.155,126,1018.785,145,1121.87,128,1050.85,125,959.64,148,1469.245,79,578.095,139,997.47,140,1067.145,119,888,110,784,125,946.1,106,899.985,100,851.105,18377,93007.584
4740,10650,61880.971,85,696.975,111,1046.835,134,1265.56,97,907.43,121,1010.735,107,1052.765,132,1087.665,138,1162.625,127,1036.785,100,1030.515,117,1429.915,140,1419.865,82,702.855,104,1034.135,131,1224.815,81,811,95,775,114,1111.945,96,827.535,89,824.265,12851,82339.621
4655,14573,62724.539,91,686.79,128,1014.805,154,1096.095,144,1019.775,129,988.962,144,1026.445,121,849.525,122,891.885,130,1173.665,111,820.725,129,1117.06,121,1057.045,79,557.665,124,902.355,123,968.135,91,663,100,707,105,727.355,127,859.325,96,691.58,16942,80543.969
4350,12326,61933.825,118,863.025,127,991.905,122,998.09,128,1020.69,111,1011.17,111,1011.01,124,954.505,132,1154.19,112,914.745,107,878.175,88,841.86,110,1071.465,65,518.415,86,726.93,94,662.48,72,535,69,681,99,884.02,88,834.495,81,720.355,14370,79208.12
3064,9268,48373.131,239,1660.55,242,1778.57,263,1835.9,253,1862.175,229,1764.675,304,2183.205,320,2396.605,292,2215.25,195,1419.175,234,1918.205,249,1813.48,219,1956.26,70,492.75,111,851.29,132,1104.51,104,800,102,790,129,972,124,1007.73,64,584.315,13143,77779.446
3977,12203,56833.221,182,1224.1,177,1152.11,219,1529.53,193,1488.465,150,1098.06,165,1180.54,220,1670.45,174,1303.51,146,1043.78,166,1237.965,168,1184.645,107,851.48,55,382.12,87,725.87,104,755.245,72,533,91,828,93,675.455,86,661.495,49,353.395,14907,76712.721
6065,12486,59310.814,113,730.635,111,737.405,145,1030.28,135,925.035,174,1380.775,152,1141.315,101,727.8,101,734.435,132,993.805,165,1011.92,156,1440.575,138,1222.01,58,531.14,125,834.4,146,977.41,84,560,86,575,100,650.215,76,549.05,54,365.23,14838,76429.469
4300,9776,49329.407,197,1450.21,294,1966.05,331,2332.59,316,2303.93,271,1942.115,225,1897.965,208,1616.65,211,1842.84,185,1544.255,134,1191.76,116,1016.785,123,1119.135,87,769.85,84,676.91,111,950.36,94,869,75,680,89,833.335,70,587.12,79,663.985,13076,75584.327
6210,15381,56878.521,137,845.81,200,1213.73,196,1344.68,148,969.73,138,894.255,167,1070.88,171,1116.57,136,878.11,134,901.815,118,779.315,187,1151.025,110,747.075,84,529.815,91,571.935,129,876.57,90,611,120,801,95,628,82,546.295,92,612.935,18006,73968.851
