Small Unit Installation Postcode,Previous Years (2001-2020) - Installations Quantity,Jan 2021 - Installations Quantity,Feb 2021 - Installations Quantity,Mar 2021 - Installations Quantity,Apr 2021 - Installations Quantity,May 2021 - Installations Quantity,June 2021 - Installations Quantity,July 2021 - Installations Quantity,Aug 2021 - Installations Quantity,Sep 2021 - Installations Quantity,Oct 2021 - Installations Quantity,Nov 2021 - Installations Quantity,Dec 2021 - Installations Quantity,Jan 2022 - Installations Quantity,Feb 2022 - Installations Quantity,Mar 2022 - Installations Quantity,Apr 2022 - Installations Quantity,May 2022 - Installations Quantity,June 2022 - Installations Quantity,July 2022 - Installations Quantity,August 2022 - Installations Quantity,Installations Quantity Total
0000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0800,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
0810,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
0812,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
0820,16,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,20
0822,644,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,645
0828,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0829,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0830,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,92
0831,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0832,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
0835,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
0836,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
0837,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0838,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0850,9,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,64
0851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0852,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
0853,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
0860,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0861,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0872,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
0873,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0875,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
0880,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
0885,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
0886,21,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
1355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1475,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1490,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1495,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1499,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1582,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1630,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1658,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1715,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1755,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1765,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1790,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1811,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1825,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1835,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1848,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
1860,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1871,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1875,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1890,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2000,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
2007,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2008,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20
2009,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8
2010,37,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39
2011,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18
2015,12,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,16
2016,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
2017,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
2019,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
2020,21,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,26
2021,16,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,21
2022,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
2023,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13
2024,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15
2025,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2027,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2028,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
