Small Unit Installation Postcode,Previous Years (2001-2020) - Installations Quantity,Jan 2021 - Installations Quantity,Feb 2021 - Installations Quantity,Mar 2021 - Installations Quantity,Apr 2021 - Installations Quantity,May 2021 - Installations Quantity,June 2021 - Installations Quantity,July 2021 - Installations Quantity,Aug 2021 - Installations Quantity,Sep 2021 - Installations Quantity,Oct 2021 - Installations Quantity,Nov 2021 - Installation Quantity,Dec 2021 - Installation Quantity,Jan 2022 - Installation Quantity,Feb 2022 - Installation Quantity,Mar 2022 - Installations Quantity,Apr 2022 - Installations Quantity,May 2022 - Installations Quantity,June 2022 - Installations Quantity,July 2022 - Installations Quantity,August 2022 - Installations Quantity,Installations Quantity Total
0000,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677
0200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0800,92,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,96
0801,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0804,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27
0810,3206,3,13,11,7,7,7,3,10,10,10,8,4,2,16,6,4,2,5,3,1,3338
0811,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0812,2290,2,5,6,6,7,7,6,10,4,5,8,5,0,8,4,7,4,4,4,0,2392
0813,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0814,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,39
0820,1248,0,3,3,3,2,2,1,2,3,4,4,5,3,1,2,1,3,4,1,1,1296
0821,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0822,805,8,3,1,6,7,10,9,11,6,5,3,5,4,10,14,4,2,0,1,0,914
0825,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0826,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0828,184,1,2,10,3,8,5,3,2,1,2,4,3,0,2,5,0,5,0,1,2,243
0829,146,0,0,1,3,0,0,2,1,0,0,0,1,0,1,4,4,3,0,0,0,166
0830,2653,5,11,4,6,12,1,4,2,2,9,6,7,4,5,0,4,5,6,2,0,2748
0831,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
0832,2562,10,10,10,12,5,13,15,8,11,13,10,4,2,0,2,6,9,2,4,0,2708
0834,43,2,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,50
0835,485,0,2,2,2,1,0,1,0,5,3,0,0,1,3,2,2,0,1,4,0,514
0836,713,1,3,3,3,2,0,4,2,6,6,9,4,0,4,2,4,2,1,2,0,771
0837,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55
0838,63,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66
0839,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
0840,46,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,49
0841,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0845,79,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,90
0846,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
0847,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0850,602,1,0,3,0,0,3,1,11,2,2,1,1,1,1,0,0,8,1,1,0,639
0851,121,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,126
0852,224,0,0,4,1,1,3,1,2,0,0,0,1,0,0,0,0,0,2,0,0,239
0853,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,101
0854,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
0860,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
0861,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
0862,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0870,2467,4,5,6,7,4,7,6,7,1,12,2,1,1,1,5,6,0,2,0,0,2544
0871,125,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
0872,525,1,1,2,3,1,5,0,8,18,1,17,0,0,0,0,0,2,0,0,0,584
0873,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,5
0875,4,1,0,0,0,0,2,0,2,1,0,1,1,0,2,0,0,0,0,0,0,14
0880,281,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290
0881,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
0885,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0886,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,1,6,3,7,0,50
