Year,Hydro,Solar,Wind,Solar Water,Total
2001,3,118,18,10075,10214
2002,-,251,11,21839,22101
2003,-,664,13,28653,29330
2004,-,1089,17,30991,32097
2005,-,1406,11,33964,35381
2006,-,1115,6,35924,37045
2007,-,3480,12,50977,54469
2008,1,14064,43,85385,99493
2009,5,62916,58,194695,257674
2010,3,198208,136,127093,325440
2011,1,360745,44,105050,465840
2012,2,343320,8,69466,412796
2013,2,200407,3,58299,258711
2014,1,180139,11,58728,238879
2015,-,141500,12,58704,200216
2016,-,132697,10,62018,194725
2017,-,174942,10,64144,239096
2018,-,224852,-,66976,291828
2019,-,284031,1,65357,349389
2020,2,370318,-,74403,444723
2021,-,376708,-,98810,475518
2022,-,172642,-,59437,232079
